date,product_id,category,brand,region,channel,season,base_price,current_price,price_change_pct,discount_pct,promotion_type,units_sold,revenue,inventory_level,stockout_flag,demand_index
2026-01-01,P1001,Shoes,Nike,AU,mobile,Winter,173.55,112.81,-35.0,35,Buy One Get One,15,1692.15,153,0,133.93
2026-01-02,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,10,1735.5,185,0,89.29
2026-01-03,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,13,2256.15,312,0,116.07
2026-01-04,P1001,Shoes,Nike,AU,web,Winter,173.55,164.87,-5.0,5,Member Offer,13,2143.31,227,0,116.07
2026-01-05,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,13,2256.15,247,0,116.07
2026-01-06,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,14,2429.7,94,0,125.0
2026-01-07,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,11,1909.05,143,0,98.21
2026-01-08,P1001,Shoes,Nike,AU,web,Winter,173.55,156.2,-10.0,10,Percentage Discount,9,1405.8,248,0,80.36
2026-01-09,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,10,1735.5,342,0,89.29
2026-01-10,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,13,2256.15,396,0,116.07
2026-01-11,P1001,Shoes,Nike,AU,app,Winter,173.55,156.2,-10.0,10,Percentage Discount,12,1874.4,208,0,107.14
2026-01-12,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,13,2256.15,303,0,116.07
2026-01-13,P1001,Shoes,Nike,AU,web,Winter,173.55,121.48,-30.0,30,Percentage Discount,13,1579.24,351,0,116.07
2026-01-14,P1001,Shoes,Nike,AU,web,Winter,173.55,173.55,0.0,0,None,9,1561.95,117,0,80.36
2026-01-15,P1001,Shoes,Nike,AU,mobile,Winter,173.55,138.84,-20.0,20,Flash Sale,15,2082.6,256,0,133.93
2026-01-16,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,12,2082.6,179,0,107.14
2026-01-17,P1001,Shoes,Nike,AU,web,Winter,173.55,112.81,-35.0,35,Buy One Get One,19,2143.39,328,0,169.64
2026-01-18,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,9,1561.95,358,0,80.36
2026-01-19,P1001,Shoes,Nike,AU,web,Winter,173.55,138.84,-20.0,20,Flash Sale,13,1804.92,316,0,116.07
2026-01-20,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,7,1214.85,448,0,62.5
2026-01-21,P1001,Shoes,Nike,AU,app,Winter,173.55,104.13,-40.0,40,Flash Sale,15,1561.95,312,0,133.93
2026-01-22,P1001,Shoes,Nike,AU,mobile,Winter,173.55,138.84,-20.0,20,Percentage Discount,10,1388.4,132,0,89.29
2026-01-23,P1001,Shoes,Nike,AU,mobile,Winter,173.55,173.55,0.0,0,None,13,2256.15,284,0,116.07
2026-01-24,P1001,Shoes,Nike,AU,web,Winter,173.55,164.87,-5.0,5,Member Offer,13,2143.31,281,0,116.07
2026-01-25,P1001,Shoes,Nike,AU,app,Winter,173.55,112.81,-35.0,35,Buy One Get One,15,1692.15,232,0,133.93
2026-01-26,P1001,Shoes,Nike,AU,app,Winter,173.55,121.48,-30.0,30,Clearance,16,1943.68,375,0,142.86
2026-01-27,P1001,Shoes,Nike,AU,app,Winter,173.55,173.55,0.0,0,None,9,1561.95,247,0,80.36
2026-01-28,P1001,Shoes,Nike,AU,app,Winter,173.55,104.13,-40.0,40,Flash Sale,13,1353.69,272,0,116.07
